strategy,set_id,evidence_grade,threshold_summary,pig_status,recommendable,hard_count,hard_percentage_all_notes,hard_percentage_assigned_notes,gt_eligible_notes,gt_hard_count,gt_hard_percentage,gt_error_count,gt_selected_errors,gt_error_recall,gt_precision,gt_correct_sieve_rate,gt_enrichment,assigned_gt_error_recall,assigned_gt_precision,macro_finger_recall,worst_finger,cluster_count,replicates,error_recall_ci_low,error_recall_ci_high,precision_ci_low,precision_ci_high
blacklist,bl_step_crossing,exploratory,"crossing, IOI <=1000ms, and <=2 semitones","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,3328,0.006543182448227659,0.00766161801032753,1800,7,0.0038888888888888888,392,3,0.007653061224489796,0.42857142857142855,0.002840909090909091,1.967930029154519,0.02564102564102564,0.42857142857142855,0.004545454545454545,L1,11,2000,0.0,0.015625,0.0,0.8
blacklist,bl_step_crossing__ni_k5_r1,exploratory,"crossing, IOI <=1000ms, and <=2 semitones; physical must-alert; Noinfo k=5, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,3899,0.007665825831021527,0.008976156436979278,1800,7,0.0038888888888888888,392,3,0.007653061224489796,0.42857142857142855,0.002840909090909091,1.967930029154519,0.02564102564102564,0.42857142857142855,0.004545454545454545,L1,11,2000,0.0,0.015625,0.0,0.8
blacklist,bl_step_crossing__ni_k5_r2,exploratory,"crossing, IOI <=1000ms, and <=2 semitones; physical must-alert; Noinfo k=5, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,4461,0.008770774309358048,0.010269975343771366,1800,7,0.0038888888888888888,392,3,0.007653061224489796,0.42857142857142855,0.002840909090909091,1.967930029154519,0.02564102564102564,0.42857142857142855,0.004545454545454545,L1,11,2000,0.0,0.015625,0.0,0.8
blacklist,bl_rate_q995,empirically_calibrated,LOPO 99.5th percentile,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,4745,0.009329146850012092,0.010923791303787298,1800,8,0.0044444444444444444,392,2,0.00510204081632653,0.25,0.004261363636363636,1.1479591836734695,0.017094017094017096,0.25,0.004015151515151515,L1,11,2000,0.0,0.01054889463362453,0.0,1.0
blacklist,bl_rate_q995__ni_k5_r1,empirically_calibrated,"LOPO 99.5th percentile; physical must-alert; Noinfo k=5, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,5323,0.010465552936272784,0.012254444912552115,1800,8,0.0044444444444444444,392,2,0.00510204081632653,0.25,0.004261363636363636,1.1479591836734695,0.017094017094017096,0.25,0.004015151515151515,L1,11,2000,0.0,0.01054889463362453,0.0,1.0
blacklist,bl_step_crossing__ni_k5_r4,exploratory,"crossing, IOI <=1000ms, and <=2 semitones; physical must-alert; Noinfo k=5, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,5543,0.010898095045230143,0.012760922064677133,1800,7,0.0038888888888888888,392,3,0.007653061224489796,0.42857142857142855,0.002840909090909091,1.967930029154519,0.02564102564102564,0.42857142857142855,0.004545454545454545,L1,11,2000,0.0,0.015625,0.0,0.8
blacklist,bl_rate_q995__ni_k5_r2,empirically_calibrated,"LOPO 99.5th percentile; physical must-alert; Noinfo k=5, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,5887,0.011574433615599828,0.013552868157090794,1800,8,0.0044444444444444444,392,2,0.00510204081632653,0.25,0.004261363636363636,1.1479591836734695,0.017094017094017096,0.25,0.004015151515151515,L1,11,2000,0.0,0.01054889463362453,0.0,1.0
blacklist,bl_rate_q990,empirically_calibrated,LOPO 99th percentile,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,6351,0.0124867042454008,0.014621074514299922,1800,17,0.009444444444444445,392,4,0.01020408163265306,0.23529411764705882,0.009232954545454546,1.0804321728691477,0.03418803418803419,0.23529411764705882,0.010165945165945166,L1,11,2000,0.0,0.01815256525652565,0.0,0.4375
blacklist,bl_rate_q990__ni_k5_r1,empirically_calibrated,"LOPO 99th percentile; physical must-alert; Noinfo k=5, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,6928,0.013621144231166232,0.015949425954191444,1800,17,0.009444444444444445,392,4,0.01020408163265306,0.23529411764705882,0.009232954545454546,1.0804321728691477,0.03418803418803419,0.23529411764705882,0.010165945165945166,L1,11,2000,0.0,0.01815256525652565,0.0,0.4375
blacklist,bl_rate_q995__ni_k5_r4,empirically_calibrated,"LOPO 99.5th percentile; physical must-alert; Noinfo k=5, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,6972,0.013707652652957703,0.016050721384616447,1800,8,0.0044444444444444444,392,2,0.00510204081632653,0.25,0.004261363636363636,1.1479591836734695,0.017094017094017096,0.25,0.004015151515151515,L1,11,2000,0.0,0.01054889463362453,0.0,1.0
blacklist,bl_rate_q990__ni_k5_r2,empirically_calibrated,"LOPO 99th percentile; physical must-alert; Noinfo k=5, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,7492,0.014730024910493276,0.017247849198730125,1800,17,0.009444444444444445,392,4,0.01020408163265306,0.23529411764705882,0.009232954545454546,1.0804321728691477,0.03418803418803419,0.23529411764705882,0.010165945165945166,L1,11,2000,0.0,0.01815256525652565,0.0,0.4375
blacklist,bl_crossing,mixed,non-thumb crossing and IOI <=1000ms,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,8335,0.016387447627998056,0.019188577558918257,1800,20,0.011111111111111112,392,7,0.017857142857142856,0.35,0.009232954545454546,1.6071428571428572,0.05982905982905983,0.35,0.010227272727272727,L1,11,2000,0.00443337417823939,0.032573493995575256,0.125,0.5714285714285714
blacklist,bl_rate_q990__ni_k5_r4,empirically_calibrated,"LOPO 99th percentile; physical must-alert; Noinfo k=5, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,8572,0.016853413445374846,0.0197341915818893,1800,17,0.009444444444444445,392,4,0.01020408163265306,0.23529411764705882,0.009232954545454546,1.0804321728691477,0.03418803418803419,0.23529411764705882,0.010165945165945166,L1,11,2000,0.0,0.01815256525652565,0.0,0.4375
blacklist,bl_step_crossing__ni_k3_r1,exploratory,"crossing, IOI <=1000ms, and <=2 semitones; physical must-alert; Noinfo k=3, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,8661,0.01702839638945305,0.0199390846116126,1800,22,0.012222222222222223,392,4,0.01020408163265306,0.18181818181818182,0.01278409090909091,0.8348794063079779,0.03418803418803419,0.18181818181818182,0.005953905249679898,L1,11,2000,0.0022887323943662006,0.017442495176195793,0.028676470588235334,0.3333333333333333
blacklist,bl_crossing__ni_k5_r1,mixed,"non-thumb crossing and IOI <=1000ms; physical must-alert; Noinfo k=5, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,8877,0.017453074096429363,0.020436353088244433,1800,20,0.011111111111111112,392,7,0.017857142857142856,0.35,0.009232954545454546,1.6071428571428572,0.05982905982905983,0.35,0.010227272727272727,L1,11,2000,0.00443337417823939,0.032573493995575256,0.125,0.5714285714285714
blacklist,bl_crossing__ni_k5_r2,mixed,"non-thumb crossing and IOI <=1000ms; physical must-alert; Noinfo k=5, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,9425,0.018530497167832238,0.021697941630810385,1800,20,0.011111111111111112,392,7,0.017857142857142856,0.35,0.009232954545454546,1.6071428571428572,0.05982905982905983,0.35,0.010227272727272727,L1,11,2000,0.00443337417823939,0.032573493995575256,0.125,0.5714285714285714
blacklist,bl_rate_q995__ni_k3_r1,empirically_calibrated,"LOPO 99.5th percentile; physical must-alert; Noinfo k=3, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,10101,0.01985958110262848,0.023254207789158165,1800,25,0.013888888888888888,392,4,0.01020408163265306,0.16,0.014914772727272728,0.7346938775510204,0.03418803418803419,0.16,0.006938753734528383,L1,11,2000,0.0022887323943662006,0.017442495176195793,0.024375000000000036,0.3333333333333333
blacklist,bl_crossing__ni_k5_r4,mixed,"non-thumb crossing and IOI <=1000ms; physical must-alert; Noinfo k=5, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,10475,0.020594902687855986,0.024115218947770696,1800,20,0.011111111111111112,392,7,0.017857142857142856,0.35,0.009232954545454546,1.6071428571428572,0.05982905982905983,0.35,0.010227272727272727,L1,11,2000,0.00443337417823939,0.032573493995575256,0.125,0.5714285714285714
blacklist,bl_rate_q990__ni_k3_r1,empirically_calibrated,"LOPO 99th percentile; physical must-alert; Noinfo k=3, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,11690,0.022983714789597754,0.026912354128824766,1800,33,0.018333333333333333,392,6,0.015306122448979591,0.18181818181818182,0.019176136363636364,0.8348794063079779,0.05128205128205128,0.18181818181818182,0.013089547385322035,L1,11,2000,0.0033107136632973162,0.025411646622144395,0.041666666666666664,0.3214573732718893
blacklist,bl_crossing__ni_k3_r1,mixed,"non-thumb crossing and IOI <=1000ms; physical must-alert; Noinfo k=3, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,13482,0.026506966877104958,0.031037840749770357,1800,35,0.019444444444444445,392,8,0.02040816326530612,0.22857142857142856,0.019176136363636364,1.0495626822157436,0.06837606837606838,0.22857142857142856,0.01163572343149808,L1,11,2000,0.007691326530612245,0.03405591587384089,0.09090909090909091,0.35298861480075877
blacklist,bl_step_crossing__ni_k3_r2,exploratory,"crossing, IOI <=1000ms, and <=2 semitones; physical must-alert; Noinfo k=3, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,13680,0.026896254775166578,0.03149367018668287,1800,37,0.020555555555555556,392,6,0.015306122448979591,0.16216216216216217,0.022017045454545456,0.7446221731936018,0.05128205128205128,0.16216216216216217,0.00986235595390525,L1,11,2000,0.002395577395577399,0.029085147668808844,0.01681034482758623,0.36363636363636365
blacklist,bl_rate_q975,empirically_calibrated,LOPO 97.5th percentile,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,14655,0.028813202758045775,0.03373828483814602,1800,42,0.023333333333333334,392,6,0.015306122448979591,0.14285714285714285,0.02556818181818182,0.6559766763848397,0.05128205128205128,0.14285714285714285,0.020358252858252858,L1,11,2000,0.0034129692832764505,0.02616504551257145,0.047619047619047616,0.2631578947368421
blacklist,bl_rate_q995__ni_k3_r2,empirically_calibrated,"LOPO 99.5th percentile; physical must-alert; Noinfo k=3, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,15115,0.029717608985865705,0.034797282519861965,1800,41,0.02277777777777778,392,7,0.017857142857142856,0.17073170731707318,0.024147727272727272,0.7839721254355402,0.05982905982905983,0.17073170731707318,0.01236235595390525,L1,11,2000,0.002395577395577399,0.03249336431213098,0.016250000000000025,0.3449025487256368
blacklist,bl_rate_q975__ni_k5_r1,empirically_calibrated,"LOPO 97.5th percentile; physical must-alert; Noinfo k=5, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,15225,0.029933880040344384,0.03505052109592447,1800,42,0.023333333333333334,392,6,0.015306122448979591,0.14285714285714285,0.02556818181818182,0.6559766763848397,0.05128205128205128,0.14285714285714285,0.020358252858252858,L1,11,2000,0.0034129692832764505,0.02616504551257145,0.047619047619047616,0.2631578947368421
blacklist,bl_rate_q975__ni_k5_r2,empirically_calibrated,"LOPO 97.5th percentile; physical must-alert; Noinfo k=5, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,15774,0.031013269212242515,0.036314411807363715,1800,42,0.023333333333333334,392,6,0.015306122448979591,0.14285714285714285,0.02556818181818182,0.6559766763848397,0.05128205128205128,0.14285714285714285,0.020358252858252858,L1,11,2000,0.0034129692832764505,0.02616504551257145,0.047619047619047616,0.2631578947368421
blacklist,bl_rate_q990__ni_k3_r2,empirically_calibrated,"LOPO 99th percentile; physical must-alert; Noinfo k=3, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,16685,0.03280438676342502,0.038411687650935944,1800,49,0.02722222222222222,392,9,0.02295918367346939,0.1836734693877551,0.028409090909090908,0.8433985839233653,0.07692307692307693,0.1836734693877551,0.0185131496046989,L1,11,2000,0.003859535798699297,0.038463597430406844,0.038461538461538464,0.3409090909090909
blacklist,bl_rate_q975__ni_k5_r4,empirically_calibrated,"LOPO 97.5th percentile; physical must-alert; Noinfo k=5, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,16831,0.03309143743573309,0.038747804306437095,1800,42,0.023333333333333334,392,6,0.015306122448979591,0.14285714285714285,0.02556818181818182,0.6559766763848397,0.05128205128205128,0.14285714285714285,0.020358252858252858,L1,11,2000,0.0034129692832764505,0.02616504551257145,0.047619047619047616,0.2631578947368421
blacklist,bl_crossing__ni_k3_r2,mixed,"non-thumb crossing and IOI <=1000ms; physical must-alert; Noinfo k=3, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,18383,0.03614282540437772,0.04232077039779176,1800,50,0.027777777777777776,392,10,0.025510204081632654,0.2,0.028409090909090908,0.9183673469387756,0.08547008547008547,0.2,0.015544174135723432,L1,11,2000,0.009035466189080646,0.04109754884075756,0.07315964523281596,0.35294117647058826
blacklist,bl_rate_q975__ni_k3_r1,empirically_calibrated,"LOPO 97.5th percentile; physical must-alert; Noinfo k=3, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,19925,0.03917455236806974,0.04587071480041347,1800,58,0.03222222222222222,392,8,0.02040816326530612,0.13793103448275862,0.03551136363636364,0.6333567909922591,0.06837606837606838,0.13793103448275862,0.023281855077629723,L1,11,2000,0.00687226380454738,0.03107402424477794,0.05263157894736842,0.23407384230287842
blacklist,bl_step_crossing__ni_k3_r4,exploratory,"crossing, IOI <=1000ms, and <=2 semitones; physical must-alert; Noinfo k=3, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,22944,0.04511020976326184,0.05282096262889268,1800,68,0.03777777777777778,392,10,0.025510204081632654,0.14705882352941177,0.041193181818181816,0.6752701080432173,0.08547008547008547,0.14705882352941177,0.018877507469056764,L1,11,2000,0.006802721088435374,0.041898704292638145,0.08246716565456856,0.23814285714285688
blacklist,bl_rate_q995__ni_k3_r4,empirically_calibrated,"LOPO 99.5th percentile; physical must-alert; Noinfo k=3, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,24316,0.04780769964275954,0.05597953832305415,1800,72,0.04,392,11,0.02806122448979592,0.1527777777777778,0.04332386363636364,0.7015306122448981,0.09401709401709402,0.1527777777777778,0.021377507469056763,L1,11,2000,0.008924655388471177,0.04376547465603548,0.10165254237288136,0.2222222222222222
blacklist,bl_step_crossing__ni_k2_r1,exploratory,"crossing, IOI <=1000ms, and <=2 semitones; physical must-alert; Noinfo k=2, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,24746,0.048653122855721646,0.05696947093857123,1800,75,0.041666666666666664,392,8,0.02040816326530612,0.10666666666666667,0.04758522727272727,0.489795918367347,0.06837606837606838,0.10666666666666667,0.014499359795134443,L1,11,2000,0.0039171623705662045,0.03513703844689759,0.030303030303030304,0.20006756756756722
blacklist,bl_rate_q975__ni_k3_r2,empirically_calibrated,"LOPO 97.5th percentile; physical must-alert; Noinfo k=3, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,24806,0.04877108888543729,0.05710760107096896,1800,74,0.04111111111111111,392,11,0.02806122448979592,0.14864864864864866,0.044744318181818184,0.6825703254274683,0.09401709401709402,0.14864864864864866,0.028705457297006593,L1,11,2000,0.008595988538681949,0.043583535108958835,0.05126582278481013,0.26318272095332657
blacklist,bl_rate_q990__ni_k3_r4,empirically_calibrated,"LOPO 99th percentile; physical must-alert; Noinfo k=3, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,25826,0.05077651139060322,0.0594558133217304,1800,80,0.044444444444444446,392,13,0.03316326530612245,0.1625,0.04758522727272727,0.7461734693877552,0.1111111111111111,0.1625,0.02752830111985042,L1,11,2000,0.013559322033898305,0.047836564667810395,0.1230701754385965,0.230833333333333
blacklist,bl_rate_q995__ni_k2_r1,empirically_calibrated,"LOPO 99.5th percentile; physical must-alert; Noinfo k=2, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,26248,0.05160620579960324,0.06042732858626112,1800,79,0.04388888888888889,392,8,0.02040816326530612,0.10126582278481013,0.05042613636363636,0.46499612503229143,0.06837606837606838,0.10126582278481013,0.01548420827998293,L1,11,2000,0.0039171623705662045,0.03513703844689759,0.025,0.19047619047619047
