set_id,noinfo_variant,noinfo_calibration,noinfo_window,noinfo_quantile,gt_hard_count,base_risk_method,physical_policy_status,noinfo_min_run,noinfo_context_radius,hard_count,hard_percentage_all_notes,gt_error_recall,assigned_gt_error_recall,gt_precision,error_enrichment,incremental_count_beyond_physical,incremental_errors_beyond_physical
legacy_current_default__ni_k3_r1,ni_k3_r1,fixed,,,90,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,35000,0.06881351733412501,0.0663265306122449,0.2222222222222222,0.28888888888888886,1.3265306122448979,35000,26
bl_rate_q995__ni_k5_r2,ni_k5_r2,fixed,,,8,bl_rate_q995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,5887,0.011574433615599828,0.00510204081632653,0.017094017094017096,0.25,1.1479591836734695,5887,2
bl_rate_q990__ni_k5_r1,ni_k5_r1,fixed,,,17,bl_rate_q990,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,6928,0.013621144231166232,0.01020408163265306,0.03418803418803419,0.23529411764705882,1.0804321728691477,6928,4
bl_rate_q995__ni_k5_r4,ni_k5_r4,fixed,,,8,bl_rate_q995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,6972,0.013707652652957703,0.00510204081632653,0.017094017094017096,0.25,1.1479591836734695,6972,2
bl_rate_q990__ni_k5_r2,ni_k5_r2,fixed,,,17,bl_rate_q990,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,7492,0.014730024910493276,0.01020408163265306,0.03418803418803419,0.23529411764705882,1.0804321728691477,7492,4
bl_rate_q990__ni_k5_r4,ni_k5_r4,fixed,,,17,bl_rate_q990,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,8572,0.016853413445374846,0.01020408163265306,0.03418803418803419,0.23529411764705882,1.0804321728691477,8572,4
bl_step_crossing__ni_k3_r1,ni_k3_r1,fixed,,,25,bl_step_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,8955,0.0176064299350597,0.01020408163265306,0.03418803418803419,0.16,0.7346938775510204,8955,4
bl_rate_q995__ni_k3_r1,ni_k3_r1,fixed,,,25,bl_rate_q995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,10101,0.01985958110262848,0.01020408163265306,0.03418803418803419,0.16,0.7346938775510204,10101,4
bl_crossing__ni_k5_r1,ni_k5_r1,fixed,,,28,bl_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,10238,0.0201289368704792,0.017857142857142856,0.05982905982905983,0.25,1.1479591836734695,10238,7
bl_crossing__ni_k5_r2,ni_k5_r2,fixed,,,28,bl_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,10777,0.021188665037424722,0.017857142857142856,0.05982905982905983,0.25,1.1479591836734695,10777,7
bl_rate_q990__ni_k3_r1,ni_k3_r1,fixed,,,33,bl_rate_q990,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,11690,0.022983714789597754,0.015306122448979591,0.05128205128205128,0.18181818181818182,0.8348794063079779,11690,6
bl_crossing__ni_k5_r4,ni_k5_r4,fixed,,,28,bl_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,11818,0.023235375652991126,0.017857142857142856,0.05982905982905983,0.25,1.1479591836734695,11818,7
bl_step_crossing__ni_k3_r2,ni_k3_r2,fixed,,,40,bl_step_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,2.0,13963,0.02745266121532536,0.015306122448979591,0.05128205128205128,0.15,0.6887755102040817,13963,6
bl_crossing__ni_k3_r1,ni_k3_r1,fixed,,,43,bl_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,14818,0.02913367713877327,0.02040816326530612,0.06837606837606838,0.18604651162790697,0.8542952064546749,14818,8
bl_rate_q995__ni_k3_r2,ni_k3_r2,fixed,,,41,bl_rate_q995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,2.0,15115,0.029717608985865705,0.017857142857142856,0.05982905982905983,0.17073170731707318,0.7839721254355402,15115,7
bl_rate_q975__ni_k5_r1,ni_k5_r1,fixed,,,42,bl_rate_q975,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,15225,0.029933880040344384,0.015306122448979591,0.05128205128205128,0.14285714285714285,0.6559766763848397,15225,6
bl_rate_q975__ni_k5_r2,ni_k5_r2,fixed,,,42,bl_rate_q975,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,15774,0.031013269212242515,0.015306122448979591,0.05128205128205128,0.14285714285714285,0.6559766763848397,15774,6
bl_rate_q990__ni_k3_r2,ni_k3_r2,fixed,,,49,bl_rate_q990,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,2.0,16685,0.03280438676342502,0.02295918367346939,0.07692307692307693,0.1836734693877551,0.8433985839233653,16685,9
bl_rate_q975__ni_k5_r4,ni_k5_r4,fixed,,,42,bl_rate_q975,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,16831,0.03309143743573309,0.015306122448979591,0.05128205128205128,0.14285714285714285,0.6559766763848397,16831,6
bl_crossing__ni_k3_r2,ni_k3_r2,fixed,,,58,bl_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,2.0,19674,0.0386810611437593,0.025510204081632654,0.08547008547008547,0.1724137931034483,0.7916959887403238,19674,10
bl_rate_q975__ni_k3_r1,ni_k3_r1,fixed,,,58,bl_rate_q975,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,19925,0.03917455236806974,0.02040816326530612,0.06837606837606838,0.13793103448275862,0.6333567909922591,19925,8
bl_step_crossing__ni_k3_r4,ni_k3_r4,fixed,,,71,bl_step_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,4.0,23216,0.04564498909797275,0.025510204081632654,0.08547008547008547,0.14084507042253522,0.6467375682667433,23216,10
bl_rate_q995__ni_k3_r4,ni_k3_r4,fixed,,,72,bl_rate_q995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,4.0,24316,0.04780769964275954,0.02806122448979592,0.09401709401709402,0.1527777777777778,0.7015306122448981,24316,11
bl_rate_q975__ni_k3_r2,ni_k3_r2,fixed,,,74,bl_rate_q975,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,2.0,24806,0.04877108888543729,0.02806122448979592,0.09401709401709402,0.14864864864864866,0.6825703254274683,24806,11
bl_step_crossing__ni_k2_r1,ni_k2_r1,fixed,,,77,bl_step_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,1.0,25019,0.04918986829092782,0.02040816326530612,0.06837606837606838,0.1038961038961039,0.47707394646170165,25019,8
bl_rate_q990__ni_k3_r4,ni_k3_r4,fixed,,,80,bl_rate_q990,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,4.0,25826,0.05077651139060322,0.03316326530612245,0.1111111111111111,0.1625,0.7461734693877552,25826,13
bl_rate_q995__ni_k2_r1,ni_k2_r1,fixed,,,79,bl_rate_q995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,1.0,26248,0.05160620579960324,0.02040816326530612,0.06837606837606838,0.10126582278481013,0.46499612503229143,26248,8
bl_rate_q990__ni_k2_r1,ni_k2_r1,fixed,,,87,bl_rate_q990,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,1.0,27794,0.0546457971652763,0.025510204081632654,0.08547008547008547,0.11494252873563218,0.5277973258268825,27794,10
bl_crossing__ni_k3_r4,ni_k3_r4,fixed,,,89,bl_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,4.0,28716,0.05645854182190668,0.03571428571428571,0.11965811965811966,0.15730337078651685,0.7223113964686999,28716,14
bl_crossing__ni_k2_r1,ni_k2_r1,fixed,,,95,bl_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,1.0,30453,0.059873658382174545,0.030612244897959183,0.10256410256410256,0.12631578947368421,0.5800214822771215,30453,12
bl_two_signal_strict__ni_k5_r1,ni_k5_r1,fixed,,,90,bl_two_signal_strict,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,31515,0.06196165710814142,0.04081632653061224,0.13675213675213677,0.17777777777777778,0.816326530612245,31515,16
bl_two_signal_strict__ni_k5_r2,ni_k5_r2,fixed,,,90,bl_two_signal_strict,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,32015,0.06294470735577179,0.04081632653061224,0.13675213675213677,0.17777777777777778,0.816326530612245,32015,16
bl_two_signal_strict__ni_k5_r4,ni_k5_r4,fixed,,,90,bl_two_signal_strict,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,32961,0.06480463842428842,0.04081632653061224,0.13675213675213677,0.17777777777777778,0.816326530612245,32961,16
bl_rate_q975__ni_k3_r4,ni_k3_r4,fixed,,,103,bl_rate_q975,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,4.0,33699,0.06625562058979083,0.03826530612244898,0.1282051282051282,0.14563106796116504,0.6687140875767783,33699,15
bl_two_signal_strict__ni_k3_r1,ni_k3_r1,fixed,,,104,bl_two_signal_strict,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,35656,0.07010327925901605,0.04336734693877551,0.1452991452991453,0.16346153846153846,0.7505886970172685,35656,17
bl_rate_q975__ni_k2_r1,ni_k2_r1,fixed,,,112,bl_rate_q975,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,1.0,35876,0.0705358213679734,0.030612244897959183,0.10256410256410256,0.10714285714285714,0.49198250728862974,35876,12
bl_practical_or_crossing__ni_k5_r1,ni_k5_r1,fixed,,,131,bl_practical_or_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,39866,0.07838056234406365,0.03316326530612245,0.1111111111111111,0.09923664122137404,0.4556784545879421,39866,13
bl_span_practical__ni_k5_r1,ni_k5_r1,fixed,,,131,bl_span_practical,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,39866,0.07838056234406365,0.03316326530612245,0.1111111111111111,0.09923664122137404,0.4556784545879421,39866,13
bl_two_signal_strict__ni_k3_r2,ni_k3_r2,fixed,,,119,bl_two_signal_strict,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,2.0,40149,0.07893696878422243,0.04846938775510204,0.1623931623931624,0.15966386554621848,0.7331504030183502,40149,19
bl_practical_or_crossing__ni_k5_r2,ni_k5_r2,fixed,,,131,bl_practical_or_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,40336,0.07930462957683619,0.03316326530612245,0.1111111111111111,0.09923664122137404,0.4556784545879421,40336,13
bl_span_practical__ni_k5_r2,ni_k5_r2,fixed,,,131,bl_span_practical,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,40336,0.07930462957683619,0.03316326530612245,0.1111111111111111,0.09923664122137404,0.4556784545879421,40336,13
bl_practical_or_crossing__ni_k5_r4,ni_k5_r4,fixed,,,131,bl_practical_or_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,41247,0.0810957471280187,0.03316326530612245,0.1111111111111111,0.09923664122137404,0.4556784545879421,41247,13
bl_span_practical__ni_k5_r4,ni_k5_r4,fixed,,,131,bl_span_practical,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,41247,0.0810957471280187,0.03316326530612245,0.1111111111111111,0.09923664122137404,0.4556784545879421,41247,13
bl_step_crossing__ni_k2_r2,ni_k2_r2,fixed,,,133,bl_step_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,2.0,43719,0.0859559475523032,0.03826530612244898,0.1282051282051282,0.11278195488721804,0.5178763234617155,43719,15
bl_practical_or_crossing__ni_k3_r1,ni_k3_r1,fixed,,,146,bl_practical_or_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,43832,0.08617811690826765,0.03571428571428571,0.11965811965811966,0.0958904109589041,0.44031311154598823,43832,14
bl_span_practical__ni_k3_r1,ni_k3_r1,fixed,,,146,bl_span_practical,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,43832,0.08617811690826765,0.03571428571428571,0.11965811965811966,0.0958904109589041,0.44031311154598823,43832,14
bl_practical_or_rate995__ni_k5_r1,ni_k5_r1,fixed,,,139,bl_practical_or_rate995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,44593,0.08767431938516106,0.03826530612244898,0.1282051282051282,0.1079136690647482,0.4955219497871091,44593,15
bl_rate_q995__ni_k2_r2,ni_k2_r2,fixed,,,135,bl_rate_q995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,2.0,44868,0.08821499702135775,0.03826530612244898,0.1282051282051282,0.1111111111111111,0.5102040816326531,44868,15
bl_practical_or_rate995__ni_k5_r2,ni_k5_r2,fixed,,,139,bl_practical_or_rate995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,45058,0.08858855611545728,0.03826530612244898,0.1282051282051282,0.1079136690647482,0.4955219497871091,45058,15
bl_practical_or_rate995__ni_k5_r4,ni_k5_r4,fixed,,,139,bl_practical_or_rate995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,45956,0.09035411436020141,0.03826530612244898,0.1282051282051282,0.1079136690647482,0.4955219497871091,45956,15
bl_rate_q990__ni_k2_r2,ni_k2_r2,fixed,,,143,bl_rate_q990,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,2.0,46320,0.09106977494047631,0.04336734693877551,0.1452991452991453,0.11888111888111888,0.5458826887398316,46320,17
bl_practical_or_crossing__ni_k3_r2,ni_k3_r2,fixed,,,161,bl_practical_or_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,2.0,48172,0.09471099305769914,0.04081632653061224,0.13675213675213677,0.09937888198757763,0.4563316009633667,48172,16
bl_span_practical__ni_k3_r2,ni_k3_r2,fixed,,,161,bl_span_practical,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,2.0,48172,0.09471099305769914,0.04081632653061224,0.13675213675213677,0.09937888198757763,0.4563316009633667,48172,16
bl_two_signal_strict__ni_k3_r4,ni_k3_r4,fixed,,,148,bl_two_signal_strict,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,4.0,48510,0.09537553502509727,0.058673469387755105,0.19658119658119658,0.1554054054054054,0.713596249310535,48510,23
